P_SUID,PARTY,CHNG_A,CHNG_B,CHNG_C,DIVRELPOP,DIVRACPOP,POORASSIST,CLIM1A,SCIMPACT,RELIMPACT,RACECMB,INC_SDT1,EDUCREC,EMPLSIT,USGEN,CURREL
10014190,1,2,1,2,1,1,1,1,3,3,4,1,2,1,3,100000
10014280,1,2,3,1,1,1,3,1,2,2,1,1,2,2,2,10010
10014320,2,2,1,1,3,2,3,1,3,2,4,6,2,1,3,10010
10014330,1,2,2,2,2,1,2,2,3,2,1,4,2,1,3,10010
10014350,1,2,3,2,2,3,2,3,3,2,4,7,3,3,3,10010
10014370,4,3,1,2,3,1,2,1,2,1,1,7,2,1,3,10010
10014460,2,1,1,1,3,1,1,1,1,3,1,5,3,5,2,10010
10014470,2,1,1,3,1,1,1,3,1,3,3,4,3,1,1,80000
10014570,1,2,1,2,2,1,2,3,3,2,4,7,1,5,3,10010
10014670,1,2,1,2,2,1,1,2,2,3,1,8,1,1,3,10010
10014760,2,1,1,1,1,1,3,1,2,2,1,4,4,5,3,100000
10014790,1,2,1,3,1,1,2,2,3,3,1,6,2,1,3,90010
10014830,1,2,1,2,2,3,2,2,3,3,3,4,1,5,2,10010
10014960,2,3,1,1,1,1,3,1,2,1,1,4,2,3,3,100000
10014980,3,2,1,3,3,3,2,2,3,2,1,2,2,5,3,10010
10015010,1,2,2,2,2,1,2,77,3,3,1,5,3,1,2,10010
10015240,1,2,1,3,3,3,3,3,2,3,3,5,3,5,1,100000
10015380,3,3,1,1,1,1,1,1,3,3,3,8,3,3,2,70000
10015450,2,1,1,1,1,1,1,1,2,3,2,6,3,5,3,10010
10015710,2,2,1,1,3,2,2,1,3,3,1,2,1,1,3,100000
10015760,3,1,1,1,1,1,1,1,3,3,1,6,3,1,3,10010
10015810,2,2,1,1,3,3,3,1,2,2,1,4,1,5,3,10010
10015830,3,3,1,3,1,1,3,1,2,3,1,8,4,2,3,100000
10015860,2,1,1,1,3,3,1,1,2,1,1,8,4,1,3,100000
10015880,3,1,1,1,1,1,3,1,2,1,1,8,4,1,3,10010
10015900,4,1,1,3,1,1,1,77,3,2,4,2,2,1,3,10010
10015970,2,2,1,2,3,1,2,2,3,2,1,1,2,5,3,10010
10016030,4,2,1,2,1,1,1,1,3,1,1,3,2,2,3,100000
10016070,3,2,1,1,1,1,3,1,2,3,1,1,2,4,3,10010
10016080,4,2,3,2,3,3,2,3,3,2,1,6,3,1,3,10010
10016090,2,1,1,1,1,1,1,1,2,1,1,7,1,3,3,100000
10016110,4,2,1,3,1,1,2,2,2,2,1,8,4,5,3,10010
10016390,1,2,1,2,2,1,2,2,3,2,1,7,2,5,3,10010
10016590,1,2,3,2,3,3,2,3,3,2,1,8,3,1,3,10010
10016600,1,2,1,2,2,1,2,77,3,2,1,6,2,1,3,10010
10016630,1,1,1,3,3,1,1,1,3,3,1,5,2,1,2,100000
10016770,2,1,1,1,1,1,1,1,2,1,1,8,3,5,1,100000
10016860,2,1,1,1,2,1,1,1,2,3,3,4,4,1,1,100000
10016870,2,3,1,3,1,1,1,77,2,3,1,7,2,1,3,100000
10017000,3,2,1,1,1,1,1,2,2,2,1,3,4,5,3,10010
10017020,3,3,1,1,3,1,1,1,2,1,1,1,3,3,3,100000
10017040,2,1,1,1,1,1,1,1,2,1,1,8,4,1,1,60000
10017210,3,1,1,2,2,1,1,1,3,2,3,1,4,3,1,60000
10017240,3,2,1,2,3,2,2,77,3,3,1,1,1,5,3,10010
10017390,2,2,1,2,2,2,2,1,3,2,1,3,2,5,3,10010
10017470,2,3,1,1,1,1,3,1,2,3,1,4,3,5,3,10010
10017520,1,2,1,2,2,1,3,2,2,2,1,3,1,5,3,10010
10017540,2,1,1,1,1,1,1,1,2,1,1,8,4,1,3,100000
10017600,4,1,1,2,1,1,1,2,2,2,3,1,1,4,3,100000
