id,questionId,partyName,incCode,eduCode,x,y
10013240,SCIMPACT,Democrat,6,4,957.815997981399,535.4521228147509
10013540,CHNG_B,Democrat,4,1,421.6935767705808,170.7151839928631
10013540,CHNG_A,Democrat,4,1,1715.5070254560303,334.28485208911854
10013540,SCIMPACT,Democrat,4,1,944.6591427979704,522.9990252389947
10014320,CHNG_B,Democrat,6,2,413.5558155399878,174.52250823970678
10014320,CHNG_A,Democrat,6,2,1071.8112089503425,297.93386973313955
10014320,SCIMPACT,Democrat,6,2,1676.2932423835873,546.65
10014460,CHNG_B,Democrat,5,3,441.28759317664424,134.0200807948015
10014460,CHNG_A,Democrat,5,3,409.16593732584806,290.19965651344376
10014460,SCIMPACT,Democrat,5,3,377.1282686222586,513.2748109174855
10014760,CHNG_B,Democrat,4,4,370.7402710651249,178.2466386554622
10014760,CHNG_A,Democrat,4,4,465.2773198129779,287.20432411401134
10014760,SCIMPACT,Democrat,4,4,1056.2725568073322,456.2837234395861
10014980,CHNG_B,Independent,2,2,336.0917570801309,63.7606572437158
10014980,CHNG_A,Independent,2,2,1089.1203144087096,206.92232725336325
10014980,SCIMPACT,Independent,2,2,1657.8690975209695,425.2955735786206
10015450,CHNG_B,Democrat,6,3,415.04670641428254,126.96359157265314
10015450,CHNG_A,Democrat,6,3,352.05222414365164,340.91188901706835
10015450,SCIMPACT,Democrat,6,3,1144.3163271925634,509.7349074636824
10015830,CHNG_B,Independent,8,4,511.3804608338025,3.9565320035168234
10015830,CHNG_A,Independent,8,4,1620.7573538006905,254.84044152935243
10015830,SCIMPACT,Independent,8,4,963.2617230043011,433.1048146030593
10015970,CHNG_B,Democrat,1,2,400.01041900578593,160.33684595469242
10015970,CHNG_A,Democrat,1,2,1009.3929938282824,288.8692019876879
10015970,SCIMPACT,Democrat,1,2,1614.7515859126122,524.8491969992151
10016090,CHNG_B,Democrat,7,1,309.18995738997654,101.1401958467571
10016090,CHNG_A,Democrat,7,1,340.3660561657413,335.5297288374497
10016090,SCIMPACT,Democrat,7,1,1110.716096577006,491.3918935990162
10016600,CHNG_B,Republican,6,2,261.4791218805949,56.0956433070855
10016600,CHNG_A,Republican,6,2,877.73830903295,185.5516806722689
10016600,SCIMPACT,Republican,6,2,1458.6800116456072,385.0558693902202
10016870,CHNG_B,Democrat,7,2,385.9049344017086,170.6455442846443
10016870,CHNG_A,Democrat,7,2,1717.9939860720583,331.11279180231384
10016870,SCIMPACT,Democrat,7,2,961.3692875846699,535.539919861987
10017210,CHNG_B,Independent,1,4,301.88164518172783,9.718148693405936
10017210,CHNG_A,Independent,1,4,473.51253116502045,243.5367945553033
10017210,SCIMPACT,Independent,1,4,1603.18587585507,411.40902801673116
10017520,CHNG_B,Republican,3,1,152.11767512176579,43.935583582049624
10017520,CHNG_A,Republican,3,1,900.065861944335,185.5516806722689
10017520,SCIMPACT,Republican,3,1,816.586205123471,425.83187857124426
10017780,CHNG_B,Democrat,2,4,411.7990598624154,141.40400356381704
10017780,CHNG_A,Democrat,2,4,494.11405652000894,357.4686281939773
10017780,SCIMPACT,Democrat,2,4,1007.7322101993635,500.65706853476445
10018110,CHNG_B,Republican,5,2,1414.2423314452105,5.0961983839123475
10018110,CHNG_A,Republican,5,2,1462.4350612984492,257.1934473816059
10018110,SCIMPACT,Republican,5,2,157.72226337546167,419.12234398884686
10018290,CHNG_B,Republican,4,4,247.82527947701746,70.43126065148749
10018290,CHNG_A,Republican,4,4,772.0561577444837,233.7520404646618
10018290,SCIMPACT,Republican,4,4,865.7309850377301,451.533356227355
10018520,CHNG_B,Independent,1,3,304.2983335474575,6.933627277800832
10018520,CHNG_A,Independent,1,3,395.7322217658197,247.94727121372986
10018520,SCIMPACT,Independent,1,3,1120.8905625087739,392.3433465070756
10018650,CHNG_B,Other,4,3,1421.4454183007226,127.96874140305749
10018650,CHNG_A,Other,4,3,1413.7991744286223,323.678035743282
10018650,SCIMPACT,Other,4,3,860.3876308864219,520.4373991909981
10018970,CHNG_B,Other,1,1,228.2840988720479,155.8782989589468
10018970,CHNG_A,Other,1,1,1439.7136548735477,338.179994590798
10018970,SCIMPACT,Other,1,1,1415.7886841333918,494.3929910762088
10019320,CHNG_B,Republican,1,1,181.3845248206991,32.2956629868303
10019320,CHNG_A,Republican,1,1,1485.4935869324934,240.06546497049666
10019320,SCIMPACT,Republican,1,1,1500.3407274107362,452.7499517225414
10019520,CHNG_B,Republican,7,3,202.20713941876951,45.19482511632125
10019520,CHNG_A,Republican,7,3,917.5831457044359,224.9828403850706
10019520,SCIMPACT,Republican,7,3,211.95246815560668,408.6818701013136
10019730,CHNG_B,Democrat,3,1,296.2387284113884,97.76172086852617
10019730,CHNG_A,Democrat,3,1,995.1754497803183,331.60716875325517
10019730,SCIMPACT,Democrat,3,1,922.3819380122192,522.6223520049308
10020180,CHNG_B,Independent,5,2,365.87402781486554,31.520891908075146
10020180,CHNG_A,Independent,5,2,371.26798746858384,192.23305391684718
